Entity,Code,Year,Annual CO₂ emissions,Annual CO₂ emissions
Africa,,1884,21984,21984
Africa,,1885,36640,36640
Africa,,1886,47632,47632
Africa,,1887,47632,47632
Africa,,1888,80608,80608
Africa,,1889,131904,131904
Africa,,1890,296784,296784
Africa,,1891,296784,296784
Africa,,1892,479984,479984
Africa,,1893,1799024,1799024
Africa,,1894,2432896,2432896
Africa,,1895,3337904,3337904
Africa,,1896,4257568,4257568
Africa,,1897,4777856,4777856
Africa,,1898,6049264,6049264
Africa,,1899,5517984,5517984
Africa,,1900,2330304,2330304
Africa,,1901,3909488,3909488
Africa,,1902,5825760,5825760
Africa,,1903,7895920,7895920
Africa,,1904,8910848,8910848
Africa,,1905,10262864,10262864
Africa,,1906,11717472,11717472
Africa,,1907,12930256,12930256
Africa,,1908,13402912,13402912
Africa,,1909,15385136,15385136
Africa,,1910,17411328,17411328
Africa,,1911,16865392,16865392
Africa,,1912,17953600,17953600
Africa,,1913,19606064,19606064
Africa,,1914,19551104,19551104
Africa,,1915,19606064,19606064
Africa,,1916,23255408,23255408
Africa,,1917,25343888,25343888
Africa,,1918,24724672,24724672
Africa,,1919,25442816,25442816
Africa,,1920,28051584,28051584
Africa,,1921,27985632,27985632
Africa,,1922,23969888,23969888
Africa,,1923,29044528,29044528
Africa,,1924,30631040,30631040
Africa,,1925,32184576,32184576
Africa,,1926,34437936,34437936
Africa,,1927,33840704,33840704
Africa,,1928,34770320,34770320
Africa,,1929,35801616,35801616
Africa,,1930,33695670,33695670
Africa,,1931,29463712,29463712
Africa,,1932,26622752,26622752
Africa,,1933,28491132,28491132
Africa,,1934,32539280,32539280
Africa,,1935,35909544,35909544
Africa,,1936,39015950,39015950
Africa,,1937,41844264,41844264
Africa,,1938,44013164,44013164
Africa,,1939,46852930,46852930
Africa,,1940,49649184,49649184
Africa,,1941,54023456,54023456
Africa,,1942,58822884,58822884
Africa,,1943,60119628,60119628
Africa,,1944,66632910,66632910
Africa,,1945,67527180,67527180
Africa,,1946,68159370,68159370
Africa,,1947,67934744,67934744
Africa,,1948,71733140,71733140
Africa,,1949,77323530,77323530
Africa,,1950,94868000,94868000
Africa,,1951,101125270,101125270
Africa,,1952,110325210,110325210
Africa,,1953,112007010,112007010
Africa,,1954,117536136,117536136
Africa,,1955,129402500,129402500
Africa,,1956,135106260,135106260
Africa,,1957,141593120,141593120
Africa,,1958,148670930,148670930
Africa,,1959,147841250,147841250
Africa,,1960,156567200,156567200
Africa,,1961,161994340,161994340
Africa,,1962,166334910,166334910
Africa,,1963,176334880,176334880
Africa,,1964,193639340,193639340
Africa,,1965,213634400,213634400
Africa,,1966,221082100,221082100
Africa,,1967,237045200,237045200
Africa,,1968,257271420,257271420
Africa,,1969,277716580,277716580
Africa,,1970,302405900,302405900
Africa,,1971,331612900,331612900
Africa,,1972,351688000,351688000
Africa,,1973,377821120,377821120
Africa,,1974,388183260,388183260
Africa,,1975,387017150,387017150
Africa,,1976,419914700,419914700
Africa,,1977,432918820,432918820
Africa,,1978,462338660,462338660
Africa,,1979,498986780,498986780
Africa,,1980,536023460,536023460
Africa,,1981,548882300,548882300
Africa,,1982,571969100,571969100
Africa,,1983,594811400,594811400
Africa,,1984,649591230,649591230
Africa,,1985,666141950,666141950
Africa,,1986,690176300,690176300
Africa,,1987,690283140,690283140
Africa,,1988,725373250,725373250
Africa,,1989,698582900,698582900
Africa,,1990,658343900,658343900
Africa,,1991,687670400,687670400
Africa,,1992,666660030,666660030
Africa,,1993,706441700,706441700
Africa,,1994,790233800,790233800
Africa,,1995,844549400,844549400
Africa,,1996,872284300,872284300
Africa,,1997,893938400,893938400
Africa,,1998,912482100,912482100
Africa,,1999,899879040,899879040
Africa,,2000,930850800,930850800
Africa,,2001,920601800,920601800
Africa,,2002,899995840,899995840
Africa,,2003,989644600,989644600
Africa,,2004,1045725800,1045725800
Africa,,2005,1059372350,1059372350
Africa,,2006,1091175800,1091175800
Africa,,2007,1116900100,1116900100
Africa,,2008,1174755200,1174755200
Africa,,2009,1168250400,1168250400
Africa,,2010,1216669000,1216669000
Africa,,2011,1257421000,1257421000
Africa,,2012,1268948200,1268948200
Africa,,2013,1282541800,1282541800
Africa,,2014,1357348700,1357348700
Africa,,2015,1332661800,1332661800
Africa,,2016,1375131500,1375131500
Africa,,2017,1393216400,1393216400
Africa,,2018,1386654300,1386654300
Africa,,2019,1479411800,1479411800
Africa,,2020,1355782400,1355782400
Africa,,2021,1441534000,1441534000
Africa,,2022,1432502900,1432502900
Africa,,2023,1418739200,1418739200
Asia (excl. China and India),,1750,0,0
Asia (excl. China and India),,1751,0,0
Asia (excl. China and India),,1752,0,0
Asia (excl. China and India),,1753,0,0
Asia (excl. China and India),,1754,0,0
Asia (excl. China and India),,1755,0,0
Asia (excl. China and India),,1756,0,0
Asia (excl. China and India),,1757,0,0
Asia (excl. China and India),,1758,0,0
Asia (excl. China and India),,1759,0,0
Asia (excl. China and India),,1760,0,0
Asia (excl. China and India),,1761,0,0
Asia (excl. China and India),,1762,0,0
Asia (excl. China and India),,1763,0,0
Asia (excl. China and India),,1764,0,0
Asia (excl. China and India),,1765,0,0
Asia (excl. China and India),,1766,0,0
Asia (excl. China and India),,1767,0,0
Asia (excl. China and India),,1768,0,0
Asia (excl. China and India),,1769,0,0
Asia (excl. China and India),,1770,0,0
Asia (excl. China and India),,1771,0,0
Asia (excl. China and India),,1772,0,0
Asia (excl. China and India),,1773,0,0
Asia (excl. China and India),,1774,0,0
Asia (excl. China and India),,1775,0,0
Asia (excl. China and India),,1776,0,0
Asia (excl. China and India),,1777,0,0
Asia (excl. China and India),,1778,0,0
Asia (excl. China and India),,1779,0,0
Asia (excl. China and India),,1780,0,0
Asia (excl. China and India),,1781,0,0
Asia (excl. China and India),,1782,0,0
Asia (excl. China and India),,1783,0,0
Asia (excl. China and India),,1784,0,0
Asia (excl. China and India),,1785,0,0
Asia (excl. China and India),,1786,0,0
Asia (excl. China and India),,1787,0,0
Asia (excl. China and India),,1788,0,0
Asia (excl. China and India),,1789,0,0
Asia (excl. China and India),,1790,0,0
Asia (excl. China and India),,1791,0,0
Asia (excl. China and India),,1792,0,0
Asia (excl. China and India),,1793,0,0
Asia (excl. China and India),,1794,0,0
Asia (excl. China and India),,1795,0,0
Asia (excl. China and India),,1796,0,0
Asia (excl. China and India),,1797,0,0
Asia (excl. China and India),,1798,0,0
Asia (excl. China and India),,1799,0,0
Asia (excl. China and India),,1800,0,0
Asia (excl. China and India),,1801,0,0
Asia (excl. China and India),,1802,0,0
Asia (excl. China and India),,1803,0,0
Asia (excl. China and India),,1804,0,0
Asia (excl. China and India),,1805,0,0
Asia (excl. China and India),,1806,0,0
Asia (excl. China and India),,1807,0,0
Asia (excl. China and India),,1808,0,0
Asia (excl. China and India),,1809,0,0
Asia (excl. China and India),,1810,0,0
Asia (excl. China and India),,1811,0,0
Asia (excl. China and India),,1812,0,0
Asia (excl. China and India),,1813,0,0
Asia (excl. China and India),,1814,0,0
Asia (excl. China and India),,1815,0,0
Asia (excl. China and India),,1816,0,0
Asia (excl. China and India),,1817,0,0
Asia (excl. China and India),,1818,0,0
Asia (excl. China and India),,1819,0,0
Asia (excl. China and India),,1820,0,0
Asia (excl. China and India),,1821,0,0
Asia (excl. China and India),,1822,0,0
Asia (excl. China and India),,1823,0,0
Asia (excl. China and India),,1824,0,0
Asia (excl. China and India),,1825,0,0
Asia (excl. China and India),,1826,0,0
Asia (excl. China and India),,1827,0,0
Asia (excl. China and India),,1828,0,0
Asia (excl. China and India),,1829,0,0
Asia (excl. China and India),,1830,2370,2370
Asia (excl. China and India),,1831,2845,2845
Asia (excl. China and India),,1832,1895,1895
Asia (excl. China and India),,1833,2370,2370
Asia (excl. China and India),,1834,0,0
Asia (excl. China and India),,1835,0,0
Asia (excl. China and India),,1836,0,0
Asia (excl. China and India),,1837,0,0
Asia (excl. China and India),,1838,0,0
Asia (excl. China and India),,1839,0,0
Asia (excl. China and India),,1840,0,0
Asia (excl. China and India),,1841,0,0
Asia (excl. China and India),,1842,0,0
Asia (excl. China and India),,1843,0,0
Asia (excl. China and India),,1844,0,0
Asia (excl. China and India),,1845,0,0
Asia (excl. China and India),,1846,0,0
Asia (excl. China and India),,1847,0,0
Asia (excl. China and India),,1848,0,0
Asia (excl. China and India),,1849,0,0
Asia (excl. China and India),,1850,14699,14699
Asia (excl. China and India),,1851,0,0
Asia (excl. China and India),,1852,0,0
Asia (excl. China and India),,1853,0,0
Asia (excl. China and India),,1854,0,0
Asia (excl. China and India),,1855,44575,44575
Asia (excl. China and India),,1856,0,0
Asia (excl. China and India),,1857,0,0
Asia (excl. China and India),,1858,62594,62594
Asia (excl. China and India),,1859,66387,66387
Asia (excl. China and India),,1860,87726,87726
Asia (excl. China and India),,1861,111436,111436
Asia (excl. China and India),,1862,100530,100530
Asia (excl. China and India),,1863,105272,105272
Asia (excl. China and India),,1864,118075,118075
Asia (excl. China and India),,1865,263083,263083
Asia (excl. China and India),,1866,565442,565442
Asia (excl. China and India),,1867,636398,636398
Asia (excl. China and India),,1868,527337,527337
Asia (excl. China and India),,1869,747657,747657
Asia (excl. China and India),,1870,677097,677097
Asia (excl. China and India),,1871,900179,900179
Asia (excl. China and India),,1872,973161,973161
Asia (excl. China and India),,1873,930481,930481
Asia (excl. China and India),,1874,1634152,1634152
Asia (excl. China and India),,1875,2702626,2702626
Asia (excl. China and India),,1876,2809069,2809069
Asia (excl. China and India),,1877,2890927,2890927
Asia (excl. China and India),,1878,3692158,3692158
Asia (excl. China and India),,1879,3987997,3987997
Asia (excl. China and India),,1880,4303550,4303550
Asia (excl. China and India),,1881,4510204,4510204
Asia (excl. China and India),,1882,4681773,4681773
Asia (excl. China and India),,1883,5165308,5165308
Asia (excl. China and India),,1884,5460543,5460543
Asia (excl. China and India),,1885,6078608,6078608
Asia (excl. China and India),,1886,6341429,6341429
Asia (excl. China and India),,1887,7470986,7470986
Asia (excl. China and India),,1888,8307680,8307680
Asia (excl. China and India),,1889,9760965,9760965
Asia (excl. China and India),,1890,10655267,10655267
Asia (excl. China and India),,1891,12431598,12431598
Asia (excl. China and India),,1892,13028080,13028080
Asia (excl. China and India),,1893,14871535,14871535
Asia (excl. China and India),,1894,17132962,17132962
Asia (excl. China and India),,1895,19271492,19271492
Asia (excl. China and India),,1896,20424064,20424064
Asia (excl. China and India),,1897,22236162,22236162
Asia (excl. China and India),,1898,27366158,27366158
Asia (excl. China and India),,1899,28596088,28596088
Asia (excl. China and India),,1900,32075108,32075108
Asia (excl. China and India),,1901,37185628,37185628
Asia (excl. China and India),,1902,37892110,37892110
Asia (excl. China and India),,1903,40261028,40261028
Asia (excl. China and India),,1904,45347240,45347240
Asia (excl. China and India),,1905,46073116,46073116
Asia (excl. China and India),,1906,50733420,50733420
Asia (excl. China and India),,1907,55531788,55531788
Asia (excl. China and India),,1908,58342300,58342300
Asia (excl. China and India),,1909,60811836,60811836
Asia (excl. China and India),,1910,62280950,62280950
Asia (excl. China and India),,1911,68345896,68345896
Asia (excl. China and India),,1912,74222540,74222540
Asia (excl. China and India),,1913,81643220,81643220
Asia (excl. China and India),,1914,84455000,84455000
Asia (excl. China and India),,1915,78093830,78093830
Asia (excl. China and India),,1916,86249780,86249780
Asia (excl. China and India),,1917,94949250,94949250
Asia (excl. China and India),,1918,92769624,92769624
Asia (excl. China and India),,1919,102587720,102587720
Asia (excl. China and India),,1920,100283070,100283070
Asia (excl. China and India),,1921,95529650,95529650
Asia (excl. China and India),,1922,104404460,104404460
Asia (excl. China and India),,1923,114721590,114721590
Asia (excl. China and India),,1924,123807310,123807310
Asia (excl. China and India),,1925,129406456,129406456
Asia (excl. China and India),,1926,135213490,135213490
Asia (excl. China and India),,1927,149108050,149108050
Asia (excl. China and India),,1928,160739400,160739400
Asia (excl. China and India),,1929,168365920,168365920
Asia (excl. China and India),,1930,165975780,165975780
Asia (excl. China and India),,1931,157934160,157934160
Asia (excl. China and India),,1932,162379870,162379870
Asia (excl. China and India),,1933,183498500,183498500
Asia (excl. China and India),,1934,207630830,207630830
Asia (excl. China and India),,1935,223241310,223241310
Asia (excl. China and India),,1936,248002750,248002750
Asia (excl. China and India),,1937,269466080,269466080
Asia (excl. China and India),,1938,282990340,282990340
Asia (excl. China and India),,1939,295114620,295114620
Asia (excl. China and India),,1940,328708350,328708350
Asia (excl. China and India),,1941,310834700,310834700
Asia (excl. China and India),,1942,266257490,266257490
Asia (excl. China and India),,1943,284472220,284472220
Asia (excl. China and India),,1944,289870300,289870300
Asia (excl. China and India),,1945,219340880,219340880
Asia (excl. China and India),,1946,227297140,227297140
Asia (excl. China and India),,1947,285388930,285388930
Asia (excl. China and India),,1948,292387940,292387940
Asia (excl. China and India),,1949,264389120,264389120
Asia (excl. China and India),,1950,260680700,260680700
Asia (excl. China and India),,1951,288863700,288863700
Asia (excl. China and India),,1952,309247000,309247000
Asia (excl. China and India),,1953,337846300,337846300
Asia (excl. China and India),,1954,358835330,358835330
Asia (excl. China and India),,1955,405575260,405575260
Asia (excl. China and India),,1956,451917380,451917380
Asia (excl. China and India),,1957,496254050,496254050
Asia (excl. China and India),,1958,517668160,517668160
Asia (excl. China and India),,1959,552235800,552235800
Asia (excl. China and India),,1960,628523800,628523800
Asia (excl. China and India),,1961,702476800,702476800
Asia (excl. China and India),,1962,750409860,750409860
Asia (excl. China and India),,1963,823917600,823917600
Asia (excl. China and India),,1964,907292800,907292800
Asia (excl. China and India),,1965,995884900,995884900
Asia (excl. China and India),,1966,1088230800,1088230800
Asia (excl. China and India),,1967,1205316600,1205316600
Asia (excl. China and India),,1968,1346420100,1346420100
Asia (excl. China and India),,1969,1504315000,1504315000
Asia (excl. China and India),,1970,1708075300,1708075300
Asia (excl. China and India),,1971,1852219900,1852219900
Asia (excl. China and India),,1972,1957443800,1957443800
Asia (excl. China and India),,1973,2134176500,2134176500
Asia (excl. China and India),,1974,2167245800,2167245800
Asia (excl. China and India),,1975,2160472600,2160472600
Asia (excl. China and India),,1976,2332804000,2332804000
Asia (excl. China and India),,1977,2448759300,2448759300
Asia (excl. China and India),,1978,2475061000,2475061000
Asia (excl. China and India),,1979,2603236000,2603236000
Asia (excl. China and India),,1980,2613379000,2613379000
Asia (excl. China and India),,1981,2581634800,2581634800
Asia (excl. China and India),,1982,2590643200,2590643200
Asia (excl. China and India),,1983,2658528800,2658528800
Asia (excl. China and India),,1984,2772774100,2772774100
Asia (excl. China and India),,1985,2874243300,2874243300
Asia (excl. China and India),,1986,2964734000,2964734000
Asia (excl. China and India),,1987,3017455400,3017455400
Asia (excl. China and India),,1988,3272081000,3272081000
Asia (excl. China and India),,1989,3401443000,3401443000
Asia (excl. China and India),,1990,3521457000,3521457000
Asia (excl. China and India),,1991,4139676700,4139676700
Asia (excl. China and India),,1992,3823620600,3823620600
Asia (excl. China and India),,1993,3941960400,3941960400
Asia (excl. China and India),,1994,4077954000,4077954000
Asia (excl. China and India),,1995,4143463700,4143463700
Asia (excl. China and India),,1996,4272575500,4272575500
Asia (excl. China and India),,1997,4349651500,4349651500
Asia (excl. China and India),,1998,4240700000,4240700000
Asia (excl. China and India),,1999,4453602300,4453602300
Asia (excl. China and India),,2000,4701166600,4701166600
Asia (excl. China and India),,2001,4792573400,4792573400
Asia (excl. China and India),,2002,4905410600,4905410600
Asia (excl. China and India),,2003,5137394000,5137394000
Asia (excl. China and India),,2004,5348603400,5348603400
Asia (excl. China and India),,2005,5475925000,5475925000
Asia (excl. China and India),,2006,5617514000,5617514000
Asia (excl. China and India),,2007,5760085000,5760085000
Asia (excl. China and India),,2008,5867472000,5867472000
Asia (excl. China and India),,2009,5890850300,5890850300
Asia (excl. China and India),,2010,6256353000,6256353000
Asia (excl. China and India),,2011,6490375700,6490375700
Asia (excl. China and India),,2012,6750448000,6750448000
Asia (excl. China and India),,2013,6740584000,6740584000
Asia (excl. China and India),,2014,6801443000,6801443000
Asia (excl. China and India),,2015,6949811700,6949811700
Asia (excl. China and India),,2016,7075333600,7075333600
Asia (excl. China and India),,2017,7304572000,7304572000
Asia (excl. China and India),,2018,7409473500,7409473500
Asia (excl. China and India),,2019,7562272300,7562272300
Asia (excl. China and India),,2020,7307606500,7307606500
Asia (excl. China and India),,2021,7518262300,7518262300
Asia (excl. China and India),,2022,7634051600,7634051600
Asia (excl. China and India),,2023,7635394000,7635394000
China,CHN,1907,19893872,19893872
China,CHN,1908,22735854,22735854
China,CHN,1909,24251576,24251576
China,CHN,1910,25009438,25009438
China,CHN,1911,24630506,24630506
China,CHN,1912,17029154,17029154
China,CHN,1913,24251576,24251576
China,CHN,1914,26718416,26718416
China,CHN,1915,25420578,25420578
China,CHN,1916,30130690,30130690
China,CHN,1917,32023448,32023448
China,CHN,1918,34747964,34747964
China,CHN,1919,37997296,37997296
China,CHN,1920,40278456,40278456
China,CHN,1921,38762732,38762732
China,CHN,1922,39971524,39971524
China,CHN,1923,46517556,46517556
China,CHN,1924,48846084,48846084
China,CHN,1925,45954840,45954840
China,CHN,1926,43660164,43660164
China,CHN,1927,45808580,45808580
China,CHN,1928,47591444,47591444
China,CHN,1929,48281828,48281828
China,CHN,1930,49558456,49558456
China,CHN,1931,51904660,51904660
China,CHN,1932,50269150,50269150
China,CHN,1933,54111180,54111180
China,CHN,1934,62382628,62382628
China,CHN,1935,72645970,72645970
China,CHN,1936,75477250,75477250
China,CHN,1937,70968650,70968650
China,CHN,1938,61365520,61365520
China,CHN,1939,74426990,74426990
China,CHN,1940,90790530,90790530
China,CHN,1941,113978570,113978570
China,CHN,1942,127613384,127613384
China,CHN,1943,108994540,108994540
China,CHN,1944,103003570,103003570
China,CHN,1945,55892210,55892210
China,CHN,1946,36107050,36107050
China,CHN,1947,41836136,41836136
China,CHN,1948,38400104,38400104
China,CHN,1949,62081100,62081100
China,CHN,1950,78835290,78835290
China,CHN,1951,102115210,102115210
China,CHN,1952,127999330,127999330
China,CHN,1953,133782880,133782880
China,CHN,1954,160877400,160877400
China,CHN,1955,190521460,190521460
China,CHN,1956,215823980,215823980
China,CHN,1957,255784960,255784960
China,CHN,1958,524617060,524617060
China,CHN,1959,720151550,720151550
China,CHN,1960,798799940,798799940
China,CHN,1961,570630200,570630200
China,CHN,1962,459618080,459618080
China,CHN,1963,456779460,456779460
China,CHN,1964,460637100,460637100
China,CHN,1965,500286370,500286370
China,CHN,1966,549459260,549459260
China,CHN,1967,460225900,460225900
China,CHN,1968,495506560,495506560
China,CHN,1969,607683300,607683300
China,CHN,1970,807952640,807952640
China,CHN,1971,909209700,909209700
China,CHN,1972,968645570,968645570
China,CHN,1973,1008292600,1008292600
China,CHN,1974,1028099840,1028099840
China,CHN,1975,1183215000,1183215000
China,CHN,1976,1226421200,1226421200
China,CHN,1977,1340831100,1340831100
China,CHN,1978,1492777900,1492777900
China,CHN,1979,1525661200,1525661200
China,CHN,1980,1494495900,1494495900
China,CHN,1981,1476487800,1476487800
China,CHN,1982,1606585000,1606585000
China,CHN,1983,1694216800,1694216800
China,CHN,1984,1844828000,1844828000
China,CHN,1985,1998083000,1998083000
China,CHN,1986,2104213400,2104213400
China,CHN,1987,2257738500,2257738500
China,CHN,1988,2425893600,2425893600
China,CHN,1989,2463654400,2463654400
China,CHN,1990,2484854800,2484854800
China,CHN,1991,2606096100,2606096100
China,CHN,1992,2730787600,2730787600
China,CHN,1993,2921651000,2921651000
China,CHN,1994,3103739000,3103739000
China,CHN,1995,3361637000,3361637000
China,CHN,1996,3508818200,3508818200
China,CHN,1997,3515594200,3515594200
China,CHN,1998,3364587500,3364587500
China,CHN,1999,3557274600,3557274600
China,CHN,2000,3649226500,3649226500
China,CHN,2001,3728509700,3728509700
China,CHN,2002,4103046400,4103046400
China,CHN,2003,4841118700,4841118700
China,CHN,2004,5217351000,5217351000
China,CHN,2005,5882106400,5882106400
China,CHN,2006,6494330400,6494330400
China,CHN,2007,6983547400,6983547400
China,CHN,2008,7501497300,7501497300
China,CHN,2009,7891078000,7891078000
China,CHN,2010,8620576000,8620576000
China,CHN,2011,9532332000,9532332000
China,CHN,2012,9779292000,9779292000
China,CHN,2013,9956329000,9956329000
China,CHN,2014,9990257000,9990257000
China,CHN,2015,9863457000,9863457000
China,CHN,2016,9762714000,9762714000
China,CHN,2017,10006343000,10006343000
China,CHN,2018,10332993000,10332993000
China,CHN,2019,10713984000,10713984000
China,CHN,2020,10905693000,10905693000
China,CHN,2021,11447913000,11447913000
China,CHN,2022,11350538000,11350538000
China,CHN,2023,11902503000,11902503000
Europe (excl. EU-27),,1750,9305937,9305937
Europe (excl. EU-27),,1751,9407229,9407229
Europe (excl. EU-27),,1752,9505168,9505168
Europe (excl. EU-27),,1753,9610490,9610490
Europe (excl. EU-27),,1754,9733580,9733580
Europe (excl. EU-27),,1755,9793468,9793468
Europe (excl. EU-27),,1756,9909914,9909914
Europe (excl. EU-27),,1757,10093936,10093936
Europe (excl. EU-27),,1758,10216358,10216358
Europe (excl. EU-27),,1759,10338854,10338854
Europe (excl. EU-27),,1760,10514331,10514331
Europe (excl. EU-27),,1761,10747885,10747885
Europe (excl. EU-27),,1762,10952198,10952198
Europe (excl. EU-27),,1763,11191592,11191592
Europe (excl. EU-27),,1764,11396982,11396982
Europe (excl. EU-27),,1765,11643486,11643486
Europe (excl. EU-27),,1766,11876080,11876080
Europe (excl. EU-27),,1767,12152509,12152509
Europe (excl. EU-27),,1768,12466936,12466936
Europe (excl. EU-27),,1769,12780074,12780074
Europe (excl. EU-27),,1770,13097216,13097216
Europe (excl. EU-27),,1771,13369488,13369488
Europe (excl. EU-27),,1772,13623507,13623507
Europe (excl. EU-27),,1773,13808138,13808138
Europe (excl. EU-27),,1774,14012415,14012415
Europe (excl. EU-27),,1775,14338920,14338920
Europe (excl. EU-27),,1776,14654124,14654124
Europe (excl. EU-27),,1777,14959537,14959537
Europe (excl. EU-27),,1778,15243483,15243483
Europe (excl. EU-27),,1779,15535235,15535235
Europe (excl. EU-27),,1780,15878726,15878726
Europe (excl. EU-27),,1781,16234383,16234383
Europe (excl. EU-27),,1782,16580954,16580954
Europe (excl. EU-27),,1783,17062752,17062752
